,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
L10-6,0.8020424540873303,0.08708891815767643,0.1813471668395759,0.13843749075186557,0.12694301678770314,0.7951308636267315,0.357290048537263,0.07402963856238304,-484.36765123249074,-515.0141739316972,1.2947050065624823,0.009788109130318719,Válido
L10-7,0.7667397291897579,0.08714184266254976,0.1635779061500951,0.12977824079561984,0.11450453430506656,0.794909976920027,0.03235433593661952,0.06632698857975192,-451.65800707498767,-482.17754446222773,0.7536667860107633,8.872057863548638e-06,No Válido
L10-8,0.7664047700781232,0.09382262095668024,0.18080860914655175,0.13414235786521858,0.1265660264025862,0.7739876516535839,0.13372032861529154,0.07882694731216408,-488.38878930139936,-519.0353120006058,1.0752640539615952,0.08272452781378468,Válido
L10-9,0.8742142045418568,0.055844042410602646,0.1452704640374962,0.12037748635255763,0.10168932482624733,0.8833245381075753,3.0176541144007697e-05,0.046256007465662566,-663.7265964655476,-694.373119164754,0.9369255944072269,0.13350347226531942,No Válido
LM-05,0.9568336024725318,0.003869035046058657,0.018859381804630787,0.015324977421677459,0.013201567263241551,0.9669951168389999,0.8471556244439853,0.0030767721552933834,-405.09092608963846,-425.3574795390057,0.9092772131615965,0.3290201995287414,Válido
LM-06,0.038859503050863275,0.01392295529112616,0.014319481170202151,0.002642598607358964,0.010023636819141505,-0.12920348875506416,0.019763343410511957,0.005473142044943639,-473.5240852061255,-498.8545715762052,3.8992470040083225,1.5188034278565854e-14,No Válido
LM-07,0.11865035316844108,0.016681301543628783,0.017888362516300372,0.0058131817503382045,0.012521853761410259,0.07302107591355345,0.10727351458777232,0.0069293748470227005,-562.210354651378,-590.0202120138138,0.2704247956655205,1.5074655181479942e-15,No Válido
LM-08,-0.007065788450997701,0.012963881205939724,0.013027339786788763,0.0022447105117289535,0.009119137850752133,-0.35698283917740237,0.3348604607292418,0.005504367924868346,-472.2593718451137,-497.3915065917789,136.30150000269117,7.597076496603564e-14,No Válido
LM-09,0.24480454839973653,0.042098143483553715,0.04875680063053515,0.021532569691643143,0.0341297604413746,0.2711373403320314,0.4013252368563991,0.030353817300815187,-458.0086002979506,-486.2891062182257,0.2605886772578748,5.626288335177965e-07,No Válido
LM-10,0.13431201826823225,0.04524873032893541,0.048973684287987325,0.017367863547600913,0.03428157900159112,0.14066572240066777,0.09557945149661373,0.024687879804098933,-411.70044262681535,-439.020436055008,0.9116767070378912,1.3361049366348659e-11,No Válido
