,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
L10-14,0.7407902786291898,0.10622475873315745,0.20007417161795019,0.17230155287151339,0.14005192013256512,0.8398945943892844,0.6836279418783237,0.07593005674103455,-657.0362020025059,-691.8102796019168,0.7034794450615592,7.709172108627473e-07,Válido
L10-15,0.7880968549504235,0.08037996887404791,0.16283699495858747,0.13240132577107763,0.11398589647101122,0.8009459374016745,0.39429971230218686,0.05696441163561013,-855.4638769177976,-891.5112325891431,0.7848590750355514,0.00010395613058665657,Válido
L10-16,0.7193920023323821,0.11032798983853302,0.19561210586440372,0.16129256724386215,0.1369284741050826,0.7828365516957293,0.43841984007944956,0.0834113233678841,-662.9536368723952,-698.4235615636104,0.7533095179347057,0.03515059153250388,Válido
L10-17,0.5799431120911199,0.13928631084124585,0.20298488456996708,0.15478257586998276,0.14208941919897694,0.6752374084115895,0.7623388396646815,0.104065019177997,-631.8271374740759,-667.2970621652911,0.5650428860414176,0.017254128823871437,No Válido
L10-2,0.9237448787423436,0.02503733589644234,0.08094120764922762,0.0742301005449285,0.05665884535445933,0.9400623477560957,0.16695711819263692,0.018377117391518115,-699.324656313034,-729.844193700274,0.9317561463193075,0.011854083077525088,Válido
L10-3,0.5942161327539752,0.10471919453994112,0.14891728628046164,2.2224763884106578,0.10424210039632315,0.6986190460305175,0.7651750855195206,0.08217176258399882,-702.4582498975727,-737.3215472388339,94.2605349457237,0.021394967688117793,No Válido
L10-4,-0.831663882743293,0.31021045163342525,0.22823267059918284,0.17790859623854896,0.15976286941942797,-0.012869514201286014,1.2066088230613167e-161,0.2453796277532416,-16817.14142736119,-16883.806010692075,0.42902026847878855,5.186324934791577e-34,No Válido
L10-5,0.606743592735986,0.13087315986309472,0.19849640237107227,0.8953652762723979,0.13894748165975057,0.7422587146687891,0.2865892135898429,0.09654428075161645,-632.253966624057,-666.9381561627181,26.040066574563,0.00671018593197469,No Válido
L10-6,0.7752945514217316,0.09278625935311981,0.1813471668395759,0.13210832155620497,0.12694301678770314,0.7489638090078752,0.009887407192586588,0.07376888021136485,-487.64533403604275,-518.2918567352492,0.9578221890944549,5.386400335080852e-05,No Válido
L10-7,0.7501730283568695,0.09018327717907333,0.1635779061500951,0.12701964726914272,0.11450453430506656,0.7522314928547925,0.013441681711757296,0.06850376815156024,-450.0632643861688,-480.58280177340885,0.7806478188046728,1.6525482883114234e-07,No Válido
L10-8,0.7937347251747626,0.08816346200434015,0.18080860914655175,0.14700784622925686,0.1265660264025862,0.8219945240648892,0.23638014932105034,0.06867421136024572,-495.4546157495769,-526.1011384487833,0.8825265112611692,0.003960348285684748,Válido
L10-9,0.8491649269800761,0.06115221846796936,0.1452704640374962,0.12542344781029469,0.10168932482624733,0.9043646957579289,0.2234178825846027,0.04774695712058497,-676.6947255541517,-707.3412482533581,0.7848764889306677,0.10194308576661676,Válido
LM-05,-3.408197701255517,0.0390985176792295,0.018859381804630787,0.02600774068721179,0.013201567263241551,-0.2580386874966303,3.845565274309556e-08,0.03455702430716201,-375.54965845542296,-395.8162119047902,30389.214481551728,0.0005804047500514508,No Válido
LM-06,0.04015026779919839,0.013913603225728113,0.014319481170202151,0.0029766674337883227,0.010023636819141505,-0.12757307464466683,0.06233149494156407,0.00569186642907552,-474.27568052629294,-499.60616689637266,1.62242598708335,3.303986521665422e-14,No Válido
LM-07,0.04896518453888932,0.017328222810772315,0.017888362516300372,0.004242717110855826,0.012521853761410259,-0.09544548921106477,0.01774147065881106,0.006627919240533327,-557.8835539880473,-585.6934113504831,0.09945306916478225,1.1672651856360211e-16,No Válido
LM-08,0.014317682989482994,0.012825508834715072,0.013027339786788763,0.0022290208263684064,0.009119137850752133,-0.2483607008334865,0.1085313420048233,0.0054896308952947954,-473.8059273212782,-498.9380620679434,1.174908169057068,1.2743577350761082e-13,No Válido
LM-09,0.3343059684448251,0.03952488297744286,0.04875680063053515,0.02183154146805422,0.0341297604413746,0.3340009279362942,0.5351895385499816,0.02877608419010194,-476.6556552579683,-504.9361611782434,18.01864437655589,4.911198281924932e-07,No Válido
LM-10,0.3698381315861061,0.038605729504164625,0.048973684287987325,0.021805966634676606,0.03428157900159112,0.3741786073408885,0.8530780938283071,0.020878672961379782,-431.63808687951683,-458.9580803077095,inf,4.804344361702628e-10,No Válido
LM-17,0.5829380199401002,0.10362288840520478,0.1623547412781928,0.1568768401266901,0.11364831889473495,0.6532148991929483,0.22743896295583,0.08273740921010336,-176.96220823023268,-198.09660961855542,0.7783342722323413,0.8427122085372473,No Válido
MP-07A,0.08159497432460028,0.06723831947736293,0.0705223694055683,0.03265758479200116,0.04936565858389781,0.15542064636445796,0.026656771267551022,0.04920048711542036,-591.8849522415275,-622.9045619855743,3.7189739625507343,7.490754769645822e-07,No Válido
