,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
BA-28,0.2535637670381532,0.02971474563054723,0.03452753156607063,0.020669023259129487,0.024169272096249438,0.35285535088459463,0.5607098023943292,0.024359882579496776,-887.1957998951148,-938.6724231736248,1.056161375498813,0.18529963433219726,No Válido
BA-30,0.3658249143786253,0.02455312592175578,0.030951309213671188,0.01845818916464732,0.02166591644956983,0.42261240976406067,0.49670767441789687,0.01928444598940517,-935.5965046808883,-987.2121247890888,0.6492542063876185,0.06738064790246914,No Válido
E1,0.18865407412387636,0.05063422865582971,0.05660259606481297,0.033093698568457744,0.039621817245369076,0.34212600751513444,0.49022985680565645,0.039945318667234886,-420.49568499135745,-461.7239549320285,0.31265598951704054,0.018377466152346644,No Válido
E2,0.1528036420752168,0.034173728914336746,0.037368207749121786,0.013502722604544935,0.02615774542438525,0.10999676905088507,0.616676870328875,0.021906401174903337,-473.4546746434512,-515.8754335238639,1.8679325672050113,5.72428557032093e-09,No Válido
E3,0.4362867451858393,0.03055275725848917,0.04095653666312083,0.02432675282955339,0.028669575664184578,0.4865939103591531,0.63431530520461,0.015594314359415686,-485.8143975029544,-528.2351563833671,0.6631509875329294,2.5692718629196167e-12,No Válido
E4,0.5396433391366968,0.030520264624402604,0.04527720875080789,0.03199621359021975,0.03169404612556552,0.602615069352365,0.6027566820554069,0.015774541902746107,-480.046423277663,-522.2349208710293,1.3740566808401755,1.0632927309939912e-12,No Válido
ES-11,0.8168593562403405,0.095783614194763,0.22461226527802178,0.19543112140990532,0.15722858569461523,0.8823403281124067,0.20201638331336336,0.06584066866084355,-678.5714267536622,-731.7763137904849,0.4846951800712525,9.033031716852763e-07,Válido
GD-03,0.8846087281911511,0.05348274618271915,0.1403964527637479,0.1523079804836993,0.09827751693462353,0.9221711410920516,0.48065262508820294,0.03434670162196676,-492.85688593632653,-538.8266699851363,1.1305936929790046,4.6645648161559054e-08,Válido
GD-04,0.8902311646966717,0.0646876951765129,0.17994334810469276,0.1544704165327923,0.12596034367328493,0.9133259004311344,0.9473847091078329,0.04899896472140929,-462.09076303311036,-507.87006911397043,1.1127432856994834,0.012650845688122171,Válido
L10-1,0.4151037691478243,0.19411261542735903,0.23271137119472327,0.32573415210963486,0.16289795983630628,0.6551466398931158,0.3768453778524601,0.15819841299145265,-844.0431354981197,-896.0694198061112,1.0984425784848353,0.0010961378154843917,No Válido
L10-10,0.8607523685554231,0.035759521372625426,0.08661997652927547,0.12425792417657773,0.06063398357049283,0.9030257307048601,0.1862638901437258,0.02940558097678033,-636.0194301997517,-681.7987362806118,1.5739925526989023,0.05078089307456884,Válido
L10-11,0.420389555890316,0.18434166040267524,0.24120134008926283,0.1833955022794213,0.168840938062484,0.631531865065163,1.5480089511073802e-21,0.1288228565572874,-15379.61003950357,-15479.635149799802,0.3214131612853605,8.539378425458589e-34,No Válido
L10-12,0.8190959343506754,0.0910179270010422,0.19845109079134104,0.18569992345485067,0.13891576355393873,0.8429370102586072,0.7321343268475373,0.06612491909751905,-583.3809990925038,-635.1345509101245,0.7304570914226132,1.7264850467763551e-06,Válido
L10-13,0.8699845334503375,0.07562098624337284,0.19975817448066485,0.2548421363056314,0.13983072213646539,0.9124531478530632,0.5170403592652741,0.05462781370676013,-657.4017520660243,-709.4280363740158,1.1537128450515788,1.570436139961947e-05,Válido
L10-14,0.7444057003922977,0.1054813531931954,0.20007417161795019,0.1709373257594713,0.14005192013256512,0.8418045720296774,0.18088525373361908,0.07613968994559767,-630.0687424916022,-682.2298588907186,0.6828009191436519,1.8575194829507603e-05,Válido
L10-15,0.8792090221226754,0.06068709947686121,0.16283699495858747,0.1483127143179725,0.11398589647101122,0.8953742862774744,0.7209228959589058,0.04631061675384035,-857.8721634184917,-911.9431969255099,0.9195532702300953,0.00040510997722326364,Válido
L10-16,0.7790962153480837,0.09788975945819295,0.19561210586440372,0.17257299709523496,0.1369284741050826,0.8282815776028837,0.7468654355256145,0.07419992855970967,-650.7911527729206,-703.9960398097433,0.6949157887143363,7.273984357732291e-06,Válido
